id,key,phone_number
11000,AW00011000,+123-456-0000
11001,AW00011001,+123-456-0001
11002,AW00011002,+123-456-0002
11003,AW00011003,+123-456-0003
11004,AW00011004,+123-456-0004
11005,AW00011005,+123-456-0005
11006,AW00011006,+123-456-0006
11007,AW00011007,+123-456-0007
11008,AW00011008,+123-456-0008
11009,AW00011009,+123-456-0009
11010,AW00011010,+123-456-0010
11011,AW00011011,+123-456-0011
11012,AW00011012,+123-456-0012
11013,AW00011013,+123-456-0013
11014,AW00011014,+123-456-0014
11015,AW00011015,+123-456-0015
11016,AW00011016,+123-456-0016
11017,AW00011017,+123-456-0017
11018,AW00011018,+123-456-0018
11019,AW00011019,+123-456-0019
11020,AW00011020,+123-456-0020
11021,AW00011021,+123-456-0021
11022,AW00011022,+123-456-0022
11023,AW00011023,+123-456-0023
11024,AW00011024,+123-456-0024
11025,AW00011025,+123-456-0025
11026,AW00011026,+123-456-0026
11027,AW00011027,+123-456-0027
11028,AW00011028,+123-456-0028
11029,AW00011029,+123-456-0029
11030,AW00011030,+123-456-0030
11031,AW00011031,+123-456-0031
11032,AW00011032,+123-456-0032
11033,AW00011033,+123-456-0033
11034,AW00011034,+123-456-0034
11035,AW00011035,+123-456-0035
11036,AW00011036,+123-456-0036
11037,AW00011037,+123-456-0037
11038,AW00011038,+123-456-0038
11039,AW00011039,+123-456-0039
11040,AW00011040,+123-456-0040
11041,AW00011041,+123-456-0041
11042,AW00011042,+123-456-0042
11043,AW00011043,+123-456-0043
11044,AW00011044,+123-456-0044
11045,AW00011045,+123-456-0045
11046,AW00011046,+123-456-0046
11047,AW00011047,+123-456-0047
11048,AW00011048,+123-456-0048
11049,AW00011049,+123-456-0049
11050,AW00011050,+123-456-0050
11051,AW00011051,+123-456-0051
11052,AW00011052,+123-456-0052
11053,AW00011053,+123-456-0053
11054,AW00011054,+123-456-0054
11055,AW00011055,+123-456-0055
11056,AW00011056,+123-456-0056
11057,AW00011057,+123-456-0057
11058,AW00011058,+123-456-0058
11059,AW00011059,+123-456-0059
11060,AW00011060,+123-456-0060
11061,AW00011061,+123-456-0061
11062,AW00011062,+123-456-0062
11063,AW00011063,+123-456-0063
11064,AW00011064,+123-456-0064
11065,AW00011065,+123-456-0065
11066,AW00011066,+123-456-0066
11067,AW00011067,+123-456-0067
11068,AW00011068,+123-456-0068
11069,AW00011069,+123-456-0069
11070,AW00011070,+123-456-0070
11071,AW00011071,+123-456-0071
11072,AW00011072,+123-456-0072
11073,AW00011073,+123-456-0073
11074,AW00011074,+123-456-0074
11075,AW00011075,+123-456-0075
11076,AW00011076,+123-456-0076
11077,AW00011077,+123-456-0077
11078,AW00011078,+123-456-0078
11079,AW00011079,+123-456-0079
